FinalID,NonTarget,Rank,FFG,FeedingGroupsCode,FeedGrpWt,HABIT,HABIT_MPCA,TolVal,TolVal2,LongLived,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,BenTaxaID,TSN,ParTSN
Epeorus,FALSE,Genus,CG,cg,,CN,clng,,19.1072192,FALSE,2,2,2,2,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Epeorus,,,790,100626,100504
Ephemera,FALSE,Genus,CG,cg,,BU,burr,3.865476225,20.47247187,TRUE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemeridae,,,Ephemera,,,711,101526,101525
Ephemerella,FALSE,Genus,CG,cg,,CN,clng,0.264826436,18.6861839,FALSE,2,2,2,2,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Ephemerella,,,690,101233,101232
Ephemerella/Serratella,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Ephemerella/Serratella,,,700,,
Ephemerellidae,FALSE,Family,CG,cg,,CN,clng,0.997618978,19.74782557,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,,,,680,101232,568542
Ephemeridae,FALSE,Family,CG,cg,,BU,burr,,21.08232023,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemeridae,,,,,,710,101525,101508
Ephemeroptera,FALSE,Order,CG,cg,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,,,,,,,,659,100502,563889
Ephoron,FALSE,Genus,CG,cg,,BU,burr,7.38028207,21.09495336,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Polymitarcyidae,,,Ephoron,,,734,101570,101569
Ephydra,FALSE,Genus,CG,cg,,BU,burr,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Ephydridae,Ephydrinae,Ephydrini,Ephydra,,,295,147486,147466
Ephydridae,FALSE,Family,CG,cg,,BU,burr,9.46130305,19.84491104,FALSE,4,5,5,5,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Ephydridae,,,,,,288,146893,131750
Epiaeschna,FALSE,Genus,PR,pr,PredE,CB,clim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Epiaeschna,,,906,101637,101596
Epitheca,FALSE,Genus,PR,pr,PredE,CB,clim,4.127046583,,TRUE,4,4,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Corduliidae,Corduliinae,,Epitheca,,,912,102035,102026
Epoicocladius,FALSE,Genus,CG,cg,,,,,24.34895261,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Epoicocladius,,,492,128682,128457
Eriocera,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,,,Eriocera,,,633,120095,
Erioptera,FALSE,Genus,CG,cg,PredE,BU,burr,,17.73942806,FALSE,,,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Eriopterini,Erioptera,,,639,120503,120397
Erioptera/Ormosia,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Eriopterini,Erioptera/Ormosia,,,640,,
Eriopterini,FALSE,Tribe,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Eriopterini,,,,637,120397,119654
Eristalis,FALSE,Genus,CG,cg,,BU,burr,,,FALSE,5,5,,,Arthropoda,,Insecta,Pterygota,Diptera,,Syrphidae,,Eristaliini,Eristalis,,,1694,140904,140896
Erpetogomphus,FALSE,Genus,PR,pr,PredE,BU,burr,,,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Gomphidae,,,Erpetogomphus,,,930,101725,101664
Erpetogomphus/Gomphus,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Gomphidae,,,Erpetogomphus/Gomphus,,,931,,
Erpobdella,FALSE,Genus,PR,pr,PredO,SW,swim,,19.1162753,FALSE,,,5,,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Erpobdella,,,6,69444,568847
Erpobdellidae,FALSE,Family,PR,pr,PredO,SW,swim,,18.11583944,FALSE,5,5,5,5,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,Erpobdellidae,,,,,,4,69438,568836
Erythemis,FALSE,Genus,PR,pr,PredE,SP,spra,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Libellulidae,,,Erythemis,,,949,101865,101797
Eucorethra,FALSE,Genus,PR,pr,PredE,SW,swim,,,FALSE,4,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chaoboridae,Eucorethrinae,,Eucorethra,,,1695,125888,125887
Euholognatha,FALSE,Infraorder,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,,,,,Euholognatha,,,,,
Eukiefferiella,FALSE,Genus,CG,cg,,SP,spra,5.128486918,16.01689819,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,,493,128689,128457
Eukiefferiella/Tvetenia,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella/Tvetenia,,,499,,
Euparyphus,FALSE,Genus,CG,cg,,SP,spra,,,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Stratiomyidae,Stratiomyinae,Oxycerini,Euparyphus,,,1696,130436,130408
Eupera,FALSE,Genus,,,,,,,,FALSE,,,,,Mollusca,,Bivalvia,Heterodonta,Veneroida,,Pisidiidae,,,Eupera,,,1319,81436,81388
Euphylidorea,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,,,Euphylidorea,,,,,
Euryhapsis,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,,Euryhapsis,,,1472,128707,128457
Eurylophella,FALSE,Genus,CG,cg,,CN,clng,1.344691073,20.68219914,FALSE,2,2,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Eurylophella,,,701,101324,101232
Fabria,FALSE,Genus,SH,sh,,CB,clim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Phryganeidae,,,Fabria,,,,,
Fallceon,FALSE,Genus,SH,sh,,SW,swim,,22.5367602,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Fallceon,,,770,568551,100755
Fattigia/Agarodes,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Sericostomatidae,,,Fattigia/Agarodes,,,1224,,
Faxonius,FALSE,Genus,CG,cg,,SP,spra,9.411820621,,TRUE,4,4,4,4,Arthropoda,Crustacea,Malacostraca,,Decapoda,Pleocyemata,Cambaridae,Cambarinae,,Faxonius,,,1844,1133539,97336
Ferrissia,FALSE,Genus,SC,sc,,CB,clim,7.070440994,20.97382919,FALSE,4,4,4,4,Mollusca,,Gastropoda,,Basommatophora,,Ancylidae,,,Ferrissia,,,1338,76569,76568
Fissimentum,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Fissimentum,,,364,,
Fittkauimyia,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Macropelopiini,Fittkauimyia,,,558,206647,127995
Fontigens,FALSE,Genus,SC,sc,,CB,clim,,,FALSE,3,3,4,4,Mollusca,,Gastropoda,,Neotaenioglossa,,Hydrobiidae,,,Fontigens,,,1697,70605,70493
Forcipomyia,FALSE,Genus,SC,sc,PredE,BU,burr,,21.35311244,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Forcipomyiinae,,Forcipomyia,,,341,127152,127112
Forcipomyiinae,FALSE,Subfamily,PR,pr,PredE,SP,spra,,22,FALSE,4,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Forcipomyiinae,,,,,339,127112,127076
Fossaria,FALSE,Genus,SC,sc,,CB,clim,,19.88302826,FALSE,4,4,4,4,Mollusca,,Gastropoda,,Basommatophora,,Lymnaeidae,,,Fossaria,,,1343,76497,76483
Frenesia,FALSE,Genus,SH,sh,,SP,spra,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephilidae,,,Frenesia,,,,,
Galba,FALSE,Genus,,,,,,,,FALSE,,,,,Mollusca,,Gastropoda,,Basommatophora,,Lymnaeidae,,,Galba,,,,,
Gammaridae,FALSE,Family,CG,cg,,SW,swim,,17.00074311,FALSE,,,,4,Arthropoda,Crustacea,Malacostraca,,Amphipoda,Gammaridea,Gammaridae,,,,,,1456,93745,93295
Gammarus,FALSE,Genus,CG,cg,,SP,spra,6.053337397,17.00074311,FALSE,3,4,3,4,Arthropoda,Crustacea,Malacostraca,,Amphipoda,Gammaridea,Gammaridae,,,Gammarus,,,1292,93773,93745
Gastropoda,FALSE,Class,SC,sc,,,,,,FALSE,,,,,Mollusca,,Gastropoda,,,,,,,,,,1335,69459,69458
Georthocladius,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Georthocladius,,,500,128712,128457
Gerridae,FALSE,Family,PR,pr,PredP,SK,skat,7.255400581,19.43564118,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Gerridae,,,,,,842,103801,103358
Gerrinae,FALSE,Subfamily,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Gerridae,Gerrinae,,,,,844,717532,103801
Gerris,FALSE,Genus,PR,pr,PredP,SK,skat,,20.16619859,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Gerridae,Gerrinae,,Gerris,,,1698,103829,717532
Glossiphonia,FALSE,Genus,PR,pr,PredS,CB,clim,,,FALSE,,,,,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Glossiphonia,,,15,69380,568849
Glossiphoniidae,FALSE,Family,PR,pr,PredS,CB,clim,,20.20095651,FALSE,5,5,5,5,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,,,,11,69357,69295
Glossosoma,FALSE,Genus,SC,sc,,CN,clng,1.138885265,17.1186263,FALSE,2,2,2,2,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Glossosomatinae,Glossosomatini,Glossosoma,,,1236,117159,117120
Glossosomatidae,FALSE,Family,SC,sc,,CN,clng,1.28851085,17.12059286,FALSE,3,3,2,2,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,,,,,,1232,117120,115095
Glyphopsyche,FALSE,Genus,SH,sh,,CN,clng,,18.53328905,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephilidae,Limnephilinae,Chilostigmini,Glyphopsyche,,,1195,116030,568767
Glyptotendipes,FALSE,Genus,SH,sh,,BU,burr,9.074792899,23.13296254,FALSE,5,5,5,5,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Glyptotendipes,,,365,129483,129229
Goeldichironomus,FALSE,Genus,CG,cg,,BU,burr,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Goeldichironomus,,,366,129506,129229
Goera,FALSE,Genus,SC,sc,,CN,clng,0,,FALSE,1,1,1,1,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Goeridae,Goerinae,,Goera,,,1159,116423,568758
Goeridae,FALSE,Family,SC,sc,,CN,clng,,17.03489664,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Goeridae,,,,,,1157,115934,115095
Goerinae,FALSE,Subfamily,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Goeridae,Goerinae,,,,,1158,568758,115934
Gomphaeschna,FALSE,Genus,PR,pr,PredE,CB,clim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Gomphaeschna,,,1699,101634,101596
Gomphidae,FALSE,Family,PR,pr,PredE,BU,burr,3.746980186,20.66480989,TRUE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Gomphidae,,,,,,926,101664,101595
Gomphurus,FALSE,Genus,PR,pr,PredE,BU,burr,,,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Odonata,,Gomphidae,,,Gomphurus,,,1701,101777,101664
Gomphus,FALSE,Genus,PR,pr,PredE,BU,burr,,21.09248321,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Gomphidae,,,Gomphus,,,932,101665,101664
Gonielmis,FALSE,Genus,CG,cg,,CN,clng,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,,Elmidae,,,Gonielmis,,,156,114216,114093
Goniobasis,FALSE,Genus,SC,sc,,CB,clim,,,FALSE,,,,,Mollusca,,Gastropoda,,Neotaenioglossa,,Pleuroceridae,,,Goniobasis,,,1702,71542,71541
Gonomyia,FALSE,Genus,CG,cg,PredE,BU,burr,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Eriopterini,Gonomyia,,,641,120640,120397
Graphoderus,FALSE,Genus,PR,pr,PredP,SW,swim,,,FALSE,4,4,,,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Dytiscinae,Acyliini,Graphoderus,,,1703,112165,728221
Guttipelopia,FALSE,Genus,PR,pr,PredE,SP,spra,,18.01161301,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Guttipelopia,,,573,128161,128078
Gymnochthebius,FALSE,Genus,,,,,,2.983384253,21.34383849,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Hydraenidae,,,Gymnochthebius,,,1704,193637,112756
Gymnometriocnemus,FALSE,Genus,CG,cg,,BU,burr,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Gymnometriocnemus,,,501,128718,128457
Gyraulus,FALSE,Genus,SC,sc,,CB,clim,8.207206668,19.72171697,FALSE,5,4,5,5,Mollusca,,Gastropoda,,Basommatophora,,Planorbidae,,,Gyraulus,,,1359,76592,76591
Gyretes,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Adephaga,Gyrinidae,,,Gyretes,,,163,112706,112653
Gyrinidae,FALSE,Family,PR,pr,PredP,SW,swim,,20.17343468,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Adephaga,Gyrinidae,,,,,,183,112653,109226
Gyrinus,FALSE,Genus,PR,pr,PredP,SW,swim,5.311549392,19.98334227,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Coleoptera,Adephaga,Gyrinidae,,,Gyrinus,,,189,112654,112653
Habrophlebia,FALSE,Genus,CG,cg,,SW,swim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Baetidae,,,Habrophlebia,,,1476,101183,101095
Habrophlebiodes,FALSE,Genus,SC,sc,,SW,swim,,,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Leptophlebiidae,,,Habrophlebiodes,,,727,101122,101095
Haemopis,FALSE,Genus,PR,pr,PredC,SW,swim,,,FALSE,,,,,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Hirudinidae,Haemopinae,,Haemopis,,,10,69408,568844
Hagenius,FALSE,Genus,PR,pr,PredE,SP,spra,,,FALSE,2,2,3,3,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Gomphidae,,,Hagenius,,,934,101734,101664
Haliplidae,FALSE,Family,MH,hb,,CN,clng,8.519811299,20.87107107,FALSE,4,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Adephaga,Haliplidae,,,,,,164,111857,109226
Haliplus,FALSE,Genus,SH,sh,,CB,clim,8.657062296,20.80405845,FALSE,4,5,5,5,Arthropoda,,Insecta,Pterygota,Coleoptera,Adephaga,Haliplidae,,,Haliplus,,,165,111858,111857
Hansonoperla,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Hansonoperla,,,1015,102988,102914
Haploperla,FALSE,Genus,PR,pr,,CN,clng,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Chloroperlidae,Chloroperlinae,,Haploperla,,,994,103260,103202
Haplotaxidae,FALSE,Family,,,,,,,,FALSE,,,,,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Haplotaxina,Haplotaxidae,,,,,,1812,68504,68503
Harnischia,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Harnischia,,,367,129516,129229
Hayesomyia,FALSE,Genus,PR,pr,PredE,SP,spra,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,,,Hayesomyia,,,1477,128237,
Hebridae,FALSE,Family,PR,pr,PredP,CB,clim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,,Hebridae,,,,,,1813,103964,676830
Hebrus,FALSE,Genus,PR,pr,PredP,CB,clim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Hebridae,Hebrinae,,Hebrus,,,854,103965,103964
Hedriodiscus/Odontomyia,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Stratiomyidae,Stratiomyinae,Stratiomyini,Hedriodiscus/Odontomyia,,,307,,
Heleniella,FALSE,Genus,PR,pr,,SP,spra,,17.65248608,FALSE,2,2,2,2,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Heleniella,,,502,128730,128457
Helichus,FALSE,Genus,SH,sh,,CN,clng,7.379133464,18.53090635,TRUE,4,4,3,3,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Dryopidae,,,Helichus,,,197,114006,113999
Helicopsyche,FALSE,Genus,SC,sc,,CN,clng,,20.77669877,FALSE,3,3,4,4,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Helicopsychidae,,,Helicopsyche,,,1161,117016,117015
Helicopsychidae,FALSE,Family,SC,sc,,CN,clng,,20.78261447,FALSE,3,3,4,4,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Helicopsychidae,,,,,,1706,117015,598161
Helisoma,FALSE,Genus,SC,sc,,CB,clim,7.363577294,21.1633005,TRUE,4,4,5,5,Mollusca,,Gastropoda,,Basommatophora,,Planorbidae,,,Helisoma,,,1360,76599,76591
Helius,FALSE,Genus,CG,cg,PredE,BU,burr,,,FALSE,,,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Limoniini,Helius,,,651,119690,119655
Helobdella,FALSE,Genus,PR,pr,PredS,CB,clim,,20.09909266,FALSE,5,5,5,5,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Helobdella,,,16,69396,568848
Helochares,FALSE,Genus,CG,cg,PredP,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Hydrophilidae,Hydrophilinae,Hydrophilini,Helochares,,,248,113150,112811
Helocombus,FALSE,Genus,CG,cg,PredP,CN,clng,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Hydrophilidae,Hydrophilinae,Hydrophilini,Helocombus,,,1708,113148,722233
Helocordulia,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Corduliidae,Corduliinae,,Helocordulia,,,916,101878,101797
Helopelopia,FALSE,Genus,PR,pr,PredE,SP,spra,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Helopelopia,,,1478,128131,
Helophoridae,FALSE,Family,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Helophoridae,,,,,,1814,193642,112752
Helophorus,FALSE,Genus,SH,sh,PredP,SW,swim,10,19.92835127,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Helophoridae,,,Helophorus,,,239,113106,112811
Hemerodromia,FALSE,Genus,PR,pr,PredE,SP,spra,5.377703663,20.52751173,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Empididae,Hemerodromiinae,Hemerodromiini,Hemerodromia,,,286,136327,136304
Hemerodromiinae,FALSE,Subfamily,PR,pr,PredE,SP,spra,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Empididae,Hemerodromiinae,,,,,282,136290,135830
Hemiptera,FALSE,Order,PR,pr,,CB,clim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,,,,,,,,829,103359,563890
Heptagenia,FALSE,Genus,SC,sc,,CN,clng,9.45692784,20.07418754,FALSE,4,4,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Heptagenia,,,793,100602,100504
Heptageniidae,FALSE,Family,SC,sc,,CN,clng,7.632192783,20.78234142,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,,,,788,100504,100503
Hesperoconopa,FALSE,Genus,CG,cg,PredE,BU,burr,,,FALSE,2,2,2,2,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Eriopterini,Hesperoconopa,,,642,120732,120397
Hesperocorixa,FALSE,Genus,MH,hb,Herb,SW,swim,4.530839933,21.42331477,FALSE,5,5,5,5,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Corixidae,Corixinae,Corixini,Hesperocorixa,,,838,103444,103364
Hesperoperla,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Hesperoperla,,,1008,102971,102914
Hesperophylax,FALSE,Genus,SH,sh,,SP,spra,,13.02734618,FALSE,3,3,2,2,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephilidae,Limnephilinae,Limnephilini,Hesperophylax,,,1196,116001,568768
Hetaerina,FALSE,Genus,PR,pr,PredE,CB,clim,7.852222674,22.55092753,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Odonata,Zygoptera,Calopterygidae,,,Hetaerina,,,962,102048,102043
Heterelmis,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,,Elmidae,,,Heterelmis,,,157,114237,114093
Heterlimnius,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,,Elmidae,,,Heterlimnius,,,158,114167,114093
Heteroceridae,FALSE,Family,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Heteroceridae,,,,,,240,114262,113998
Heterocloeon,FALSE,Genus,SC,sc,,SW,swim,,,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Heterocloeon,,,772,100794,100755
Heteroplectron,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Calamoceratidae,Calamoceratinae,,Heteroplectron,,,1154,116537,116529
Heteroptera,FALSE,SubOrder,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,,,,,,,836,103358,100500
Heterosternuta,FALSE,Genus,PR,pr,PredP,SW,swim,,20.13068963,FALSE,4,4,3,3,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Hydroporini,Heterosternuta,,,130,728249,728229
Heterotanytarsus,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,,Heterotanytarsus,,,1479,128734,128457
Heterotrissocladius,FALSE,Genus,CG,cg,,SP,spra,,15.2780581,FALSE,3,3,2,2,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Heterotrissocladius,,,503,128737,128457
Hexacylloepus,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,,Elmidae,,,Hexacylloepus,,,153,114223,114093
Hexagenia,FALSE,Genus,CG,cg,,BU,burr,,21.30513152,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemeridae,,,Hexagenia,,,715,101537,101525
Hexatoma,FALSE,Genus,PR,pr,PredE,BU,burr,,20.49038243,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Hexatomini,Hexatoma,,,644,120094,120030
Hilara,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Empididae,Empidinae,,Hilara,,,280,136055,135930
Hirudinea,FALSE,Class,PR,pr,,SP,spra,10,,FALSE,5,5,5,5,Annelida,,Clitellata,Hirudinea,,,,,,,,,3,69290,568832
Hirudinidae,FALSE,Family,PR,pr,PredC,SW,swim,,,FALSE,5,5,5,5,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Hirudinidae,,,,,,9,69407,568835
Holocentropus,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Polycentropodidae,,,Holocentropus,,,,,
Holorusia,FALSE,Genus,SH,sh,PredE,BU,burr,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Tipulinae,,Holorusia,,,1710,118890,118841
